about,area_service,booking_appointment_link,borough,business_status,category,cid,city,country,country_code,email_1,email_1.emails_validator.status,email_1.emails_validator.status_details,facebook,full_address,google_id,h3,kgmid,latitude,location_link,location_reviews_link,logo,longitude,name,name_for_emails,order_links,other_hours,owner_id,owner_link,owner_title,phone,phone.phones_enricher.carrier_name,phone.phones_enricher.carrier_type,phone.whitepages_phones.fastbackgroundcheck,phone_1,phone_1.phones_enricher.carrier_name,phone_1.phones_enricher.carrier_type,phone_1.whitepages_phones.address,phone_1.whitepages_phones.lookup_type,phone_1.whitepages_phones.name,phone_1.whitepages_phones.phone_type,phone_1.whitepages_phones.source_url,photo,photos_count,place_id,postal_code,query,rating,reviews,reviews_id,reviews_link,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5,state,street,street_view,subtypes,time_zone,type,us_state,verified,working_hours,working_hours_old_format,color1,color2
{},False,,,OPERATIONAL,Electrician,5.96804e+17,Pell City,United States of America,US,b.ralph@ralphelectric.com,RECEIVING,SMTP validated,https://www.facebook.com/RalphElectricPC/about/,"1135 Baylor Ct, Pell City, AL 35125",0x88897d8b42dcba43:0x84845f100c94720,8944e865167ffff,/g/11j0t__45l,33.5978371,"https://www.google.com/maps/place/Ralph+Electric%2C+LLC/@33.5978371,-86.25997509999999,14z/data=!4m8!1m2!2m1!1sRalph+Electric%2C+LLC!3m4!1s0x88897d8b42dcba43:0x84845f100c94720!8m2!3d33.5978371!4d-86.25997509999999","https://www.google.com/maps/place/Ralph+Electric%2C+LLC/@33.5978371,-86.25997509999999,13.99z/data=!4m16!1m7!3m6!1s0x88897d8b42dcba43:0x84845f100c94720!2sRalph+Electric%2C+LLC!8m2!3d33.5978371!4d-86.25997509999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88897d8b42dcba43:0x84845f100c94720!8m2!3d33.5978371!4d-86.25997509999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-vWEDLwy-pNk/AAAAAAAAAAI/AAAAAAAAAAA/YwORquosopc/s44-p-k-no-ns-nd/photo.jpg,-86.2599751,"Ralph Electric, LLC",Ralph Electric,,,105257464734153877685,https://www.google.com/maps/contrib/105257464734153877685,"Ralph Electric, LLC",+1 256-454-2065,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,,12564542065,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,"1135 Baylor Ct, Pell City, AL 35125",business,Ralph Electric,,,https://lh5.googleusercontent.com/p/AF1QipM_FJDC3jKezagnU0Pe8UeQ_xDBMsJaezIKnVmQ=w800-h500-k-no,30,ChIJQ7rcQot9iYgRIEfJAPFFSAg,35125.0,"electrician, 35112, Margaret, AL, US",4.2,5.0,5.968038520292165e+17,"https://search.google.com/local/reviews?placeid=ChIJQ7rcQot9iYgRIEfJAPFFSAg&q=electrician,+35112,+Margaret,+AL,+US&authuser=0&hl=en&gl=US",1.0,0.0,0.0,0.0,4.0,Alabama,1135 Baylor Ct,https://lh5.googleusercontent.com/p/AF1QipM_FJDC3jKezagnU0Pe8UeQ_xDBMsJaezIKnVmQ=w1600-h1000-k-no,"Electrician, Contractor",America/Chicago,Electrician,Alabama,1,"{""Monday"": ""8AM-5PM"", ""Tuesday"": ""8AM-5PM"", ""Wednesday"": ""8AM-5PM"", ""Thursday"": ""8AM-5PM"", ""Friday"": ""8AM-5PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:8AM-5PM|Tuesday:8AM-5PM|Wednesday:8AM-5PM|Thursday:8AM-5PM|Friday:8AM-5PM|Saturday:Closed|Sunday:Closed,#a2865c,#74644c
{},False,,,OPERATIONAL,Electrician,1.58592e+18,Birmingham,United States of America,US,,,,,"2525 Wright Cir, Birmingham, AL 35235",0x8889a79f91bc4f17:0x16024f527ca7f15b,8944e82c567ffff,/g/11qqsn0yg_,33.6518431,"https://www.google.com/maps/place/Good+Stewart+Electric/@33.6518431,-86.63314489999999,14z/data=!4m8!1m2!2m1!1sGood+Stewart+Electric!3m4!1s0x8889a79f91bc4f17:0x16024f527ca7f15b!8m2!3d33.6518431!4d-86.63314489999999","https://www.google.com/maps/place/Good+Stewart+Electric/@33.6518431,-86.63314489999999,13.99z/data=!4m16!1m7!3m6!1s0x8889a79f91bc4f17:0x16024f527ca7f15b!2sGood+Stewart+Electric!8m2!3d33.6518431!4d-86.63314489999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8889a79f91bc4f17:0x16024f527ca7f15b!8m2!3d33.6518431!4d-86.63314489999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",,-86.6331449,Good Stewart Electric,Good Stewart Electric,,,,,Good Stewart Electric,+1 205-478-9806,"NEW CINGULAR WIRELESS PCS, LLC - GA",mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOOwZgwCOhV__BQbw6fUXJkZPlIOsTAPUDAB2w=w800-h500-k-no,6,ChIJF0-8kZ-niYgRW_GnfFJPAhY,35235.0,"electrician, 35112, Margaret, AL, US",5.0,5.0,1.5859172344851295e+18,"https://search.google.com/local/reviews?placeid=ChIJF0-8kZ-niYgRW_GnfFJPAhY&q=electrician,+35112,+Margaret,+AL,+US&authuser=0&hl=en&gl=US",0.0,0.0,0.0,0.0,5.0,Alabama,2525 Wright Cir,https://lh5.googleusercontent.com/p/AF1QipOOwZgwCOhV__BQbw6fUXJkZPlIOsTAPUDAB2w=w1600-h1000-k-no,Electrician,America/Chicago,Electrician,Alabama,0,"{""Monday"": ""8AM-8PM"", ""Tuesday"": ""8AM-8PM"", ""Wednesday"": ""8AM-8PM"", ""Thursday"": ""8AM-8PM"", ""Friday"": ""8AM-8PM"", ""Saturday"": ""8AM-8PM"", ""Sunday"": ""8AM-8PM""}",Monday:8AM-8PM|Tuesday:8AM-8PM|Wednesday:8AM-8PM|Thursday:8AM-8PM|Friday:8AM-8PM|Saturday:8AM-8PM|Sunday:8AM-8PM,,
{},True,,,OPERATIONAL,Electrician,1.70916e+19,,,,,,,,,0x49d4a9ba3cebeab1:0xed31a2387ad5a26e,8944e86f10fffff,/g/11x1g12w4z,33.57965,"https://www.google.com/maps/place/The+Electrical+Plug/@33.57965,-86.1272785,14z/data=!4m8!1m2!2m1!1sThe+Electrical+Plug!3m4!1s0x49d4a9ba3cebeab1:0xed31a2387ad5a26e!8m2!3d33.57965!4d-86.1272785","https://www.google.com/maps/place/The+Electrical+Plug/@33.57965,-86.1272785,13.99z/data=!4m16!1m7!3m6!1s0x49d4a9ba3cebeab1:0xed31a2387ad5a26e!2sThe+Electrical+Plug!8m2!3d33.57965!4d-86.1272785!16s%2Fg%2F11ckvg1dmb!3m7!1s0x49d4a9ba3cebeab1:0xed31a2387ad5a26e!8m2!3d33.57965!4d-86.1272785!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-iAbwC_V-fmA/AAAAAAAAAAI/AAAAAAAAAAA/qKT2AQGaaEA/s44-p-k-no-ns-nd/photo.jpg,-86.1272785,The Electrical Plug,The Electrical Plug,,,115116984691165618791,https://www.google.com/maps/contrib/115116984691165618791,The Electrical Plug,+1 256-589-6557,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMx0UKm7DtS5FvvBmJrLUg8jGau5U0aTlM2tmUG=w800-h500-k-no,18,ChIJserrPLqp1EkRbqLVejiiMe0,,"electrician, 35128, Pell City, AL, US",,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMx0UKm7DtS5FvvBmJrLUg8jGau5U0aTlM2tmUG=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""9AM-2PM"", ""Sunday"": ""Closed""}",Monday:7AM-5PM|Tuesday:7AM-5PM|Wednesday:7AM-5PM|Thursday:7AM-5PM|Friday:7AM-5PM|Saturday:9AM-2PM|Sunday:Closed,,
{},True,https://www.southernhomeinnovativetech.com/contact/,,OPERATIONAL,Electrician,2.67968e+18,,,,,,,,,0x67f0156ac0c315bf:0x2530255245285fa4,8944e802bc7ffff,/g/11y91qfq2m,33.1441049,"https://www.google.com/maps/place/Southern+Home+Innovative+Tech%2C+LLC/@33.144104899999995,-86.4876639,14z/data=!4m8!1m2!2m1!1sSouthern+Home+Innovative+Tech%2C+LLC!3m4!1s0x67f0156ac0c315bf:0x2530255245285fa4!8m2!3d33.144104899999995!4d-86.4876639","https://www.google.com/maps/place/Southern+Home+Innovative+Tech%2C+LLC/@33.144104899999995,-86.4876639,13.99z/data=!4m16!1m7!3m6!1s0x67f0156ac0c315bf:0x2530255245285fa4!2sSouthern+Home+Innovative+Tech%2C+LLC!8m2!3d33.144104899999995!4d-86.4876639!16s%2Fg%2F11ckvg1dmb!3m7!1s0x67f0156ac0c315bf:0x2530255245285fa4!8m2!3d33.144104899999995!4d-86.4876639!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-nvB8JqdL_sI/AAAAAAAAAAI/AAAAAAAAAAA/mgQE8mahJTc/s44-p-k-no-ns-nd/photo.jpg,-86.4876639,"Southern Home Innovative Tech, LLC",Southern Home Innovative Tech,https://www.southernhomeinnovativetech.com/contact/,,109799330228146652330,https://www.google.com/maps/contrib/109799330228146652330,"Southern Home Innovative Tech, LLC",+1 256-872-1125,,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOrhNl1mAd7NyP6Dxfo5NbEL6jwxF6xgyX4amjH=w800-h500-k-no,6,ChIJvxXDwGoV8GcRpF8oRVIlMCU,,"electrician, 35135, Riverside, AL, US",,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOrhNl1mAd7NyP6Dxfo5NbEL6jwxF6xgyX4amjH=w1600-h1000-k-no,"Electrician, Electrical installation service, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""7AM-4PM"", ""Tuesday"": ""7AM-4PM"", ""Wednesday"": ""7AM-4PM"", ""Thursday"": ""7AM-4PM"", ""Friday"": ""7AM-4PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:7AM-4PM|Tuesday:7AM-4PM|Wednesday:7AM-4PM|Thursday:7AM-4PM|Friday:7AM-4PM|Saturday:Closed|Sunday:Closed,#ae7f50,#9eb1c4
{},True,,,OPERATIONAL,Electrician,1.65856e+19,,,,,,,,,0x88928b94d8e20457:0xe62be65ac168e605,8944e14267bffff,/g/11fwj4969r,31.1950109,"https://www.google.com/maps/place/Dr.+Watts+Electric+Service/@31.1950109,-85.355932,14z/data=!4m8!1m2!2m1!1sDr.+Watts+Electric+Service!3m4!1s0x88928b94d8e20457:0xe62be65ac168e605!8m2!3d31.1950109!4d-85.355932","https://www.google.com/maps/place/Dr.+Watts+Electric+Service/@31.1950109,-85.355932,13.99z/data=!4m16!1m7!3m6!1s0x88928b94d8e20457:0xe62be65ac168e605!2sDr.+Watts+Electric+Service!8m2!3d31.1950109!4d-85.355932!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88928b94d8e20457:0xe62be65ac168e605!8m2!3d31.1950109!4d-85.355932!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-OTRzHwWpIVw/AAAAAAAAAAI/AAAAAAAAAAA/76pSZGvRR6Q/s44-p-k-no-ns-nd/photo.jpg,-85.355932,Dr. Watts Electric Service,Dr Watts Electric Service,,,100547078835956290959,https://www.google.com/maps/contrib/100547078835956290959,Dr. Watts Electric Service,+1 334-435-6430,CELLCO PARTNERSHIP DBA VERIZON,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMpxgdxHuZ5nNHiKTH4E5J6CqBP_NCu6D5W-8A2=w800-h500-k-no,16,ChIJVwTi2JSLkogRBeZowVrmK-Y,,"electrician, 36313, Bellwood, AL, US",4.8,22.0,-1.8611407435212457e+18,"https://search.google.com/local/reviews?placeid=ChIJVwTi2JSLkogRBeZowVrmK-Y&q=electrician,+36313,+Bellwood,+AL,+US&authuser=0&hl=en&gl=US",1.0,0.0,0.0,1.0,20.0,,,https://lh5.googleusercontent.com/p/AF1QipMpxgdxHuZ5nNHiKTH4E5J6CqBP_NCu6D5W-8A2=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""8AM-4PM"", ""Tuesday"": ""8AM-4PM"", ""Wednesday"": ""8AM-4PM"", ""Thursday"": ""8AM-4PM"", ""Friday"": ""8AM-4PM"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:8AM-4PM|Tuesday:8AM-4PM|Wednesday:8AM-4PM|Thursday:8AM-4PM|Friday:8AM-4PM|Saturday:Closed|Sunday:Closed,#5e77a0,#7c8494
"{""Service options"": {""Online estimates"": true, ""Onsite services"": true}}",False,,,OPERATIONAL,Electrician,9.46061e+18,Bonifay,United States of America,US,,,,,"506 E Virginia Ave, Bonifay, FL 32425",0x8893ab6585ca327f:0x834ad4d21ff11d74,8944e1d0ca3ffff,/g/1thl_6q0,30.7926363,"https://www.google.com/maps/place/Buck%27s+Electrical+Contractor/@30.792636299999998,-85.6741979,14z/data=!4m8!1m2!2m1!1sBuck%27s+Electrical+Contractor!3m4!1s0x8893ab6585ca327f:0x834ad4d21ff11d74!8m2!3d30.792636299999998!4d-85.6741979","https://www.google.com/maps/place/Buck%27s+Electrical+Contractor/@30.792636299999998,-85.6741979,13.99z/data=!4m16!1m7!3m6!1s0x8893ab6585ca327f:0x834ad4d21ff11d74!2sBuck%27s+Electrical+Contractor!8m2!3d30.792636299999998!4d-85.6741979!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8893ab6585ca327f:0x834ad4d21ff11d74!8m2!3d30.792636299999998!4d-85.6741979!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-qFFv2AFL7SA/AAAAAAAAAAI/AAAAAAAAAAA/MiobYuR-iO8/s44-p-k-no-ns-nd/photo.jpg,-85.6741979,Buck's Electrical Contractor,Bucks Electrical Contractor,,,100846575771337722979,https://www.google.com/maps/contrib/100846575771337722979,Buck's Electrical Contractor,+1 850-373-7047,CELLCO PARTNERSHIP DBA VERIZON,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNNVrB98Y19rOZGZ-JOCb9NY5OMZXzHqMkJqeCj=w800-h500-k-no,7,ChIJfzLKhWWrk4gRdB3xH9LUSoM,32425.0,"electrician, 36314, Black, AL, US",3.8,12.0,-8.986136107520288e+18,"https://search.google.com/local/reviews?placeid=ChIJfzLKhWWrk4gRdB3xH9LUSoM&q=electrician,+36314,+Black,+AL,+US&authuser=0&hl=en&gl=US",3.0,1.0,0.0,0.0,8.0,Florida,506 E Virginia Ave,https://lh5.googleusercontent.com/p/AF1QipNNVrB98Y19rOZGZ-JOCb9NY5OMZXzHqMkJqeCj=w1600-h1000-k-no,Electrician,America/Chicago,Electrician,Florida,1,"{""Monday"": ""Open 24 hours"", ""Tuesday"": ""Open 24 hours"", ""Wednesday"": ""Open 24 hours"", ""Thursday"": ""Open 24 hours"", ""Friday"": ""Open 24 hours"", ""Saturday"": ""Open 24 hours"", ""Sunday"": ""Open 24 hours""}",Monday:Open 24 hours|Tuesday:Open 24 hours|Wednesday:Open 24 hours|Thursday:Open 24 hours|Friday:Open 24 hours|Saturday:Open 24 hours|Sunday:Open 24 hours,,
{},False,,,OPERATIONAL,Electrician,2.0071e+18,Greenwood,United States of America,US,,,,,"4169 Billingsley Ln, Greenwood, FL 32443",0x8892d9968a601bf5:0x1bdaa6c36954640a,8944e0206a3ffff,/g/11w4hnqktn,30.8676072,"https://www.google.com/maps/place/Jones+Johnson+Electrical/@30.8676072,-85.1290933,14z/data=!4m8!1m2!2m1!1sJones+Johnson+Electrical!3m4!1s0x8892d9968a601bf5:0x1bdaa6c36954640a!8m2!3d30.8676072!4d-85.1290933","https://www.google.com/maps/place/Jones+Johnson+Electrical/@30.8676072,-85.1290933,13.99z/data=!4m16!1m7!3m6!1s0x8892d9968a601bf5:0x1bdaa6c36954640a!2sJones+Johnson+Electrical!8m2!3d30.8676072!4d-85.1290933!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8892d9968a601bf5:0x1bdaa6c36954640a!8m2!3d30.8676072!4d-85.1290933!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-OhfgcJwXuMI/AAAAAAAAAAI/AAAAAAAAAAA/IcTTPCB6JhU/s44-p-k-no-ns-nd/photo.jpg,-85.1290933,Jones Johnson Electrical,Jones Johnson Electrical,,,109916110356059680485,https://www.google.com/maps/contrib/109916110356059680485,Jones Johnson Electrical,+1 850-557-9077,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - FL,mobile,https://www.fastbackgroundcheck.com/people/douglas-johnson/id/f-8539929942410498969,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipNwChRGQ0CSgdh1C4qSDQXqKxPOzb72KRCaIXZy=w800-h500-k-no,7,ChIJ9RtgipbZkogRCmRUacOm2hs,32443.0,"electrician, 36319, Columbia, AL, US",,,,,,,,,,Florida,4169 Billingsley Ln,https://lh5.googleusercontent.com/p/AF1QipNwChRGQ0CSgdh1C4qSDQXqKxPOzb72KRCaIXZy=w1600-h1000-k-no,Electrician,America/Chicago,Electrician,Florida,1,,,#6cccec,#947c74
{},False,,,OPERATIONAL,Electrician,1.49214e+18,Graceville,United States of America,US,,,,,"1166 Co Rd 173, Graceville, FL 32440",0x8892f9b298418c23:0x14b52152fad1935e,8944e1c1d2fffff,/g/11h2m1qyzh,30.9663953,"https://www.google.com/maps/place/Middlebrooks+Brothers%2C+Inc./@30.9663953,-85.5826451,14z/data=!4m8!1m2!2m1!1sMiddlebrooks+Brothers%2C+Inc.!3m4!1s0x8892f9b298418c23:0x14b52152fad1935e!8m2!3d30.9663953!4d-85.5826451","https://www.google.com/maps/place/Middlebrooks+Brothers%2C+Inc./@30.9663953,-85.5826451,13.99z/data=!4m16!1m7!3m6!1s0x8892f9b298418c23:0x14b52152fad1935e!2sMiddlebrooks+Brothers%2C+Inc.!8m2!3d30.9663953!4d-85.5826451!16s%2Fg%2F11ckvg1dmb!3m7!1s0x8892f9b298418c23:0x14b52152fad1935e!8m2!3d30.9663953!4d-85.5826451!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-B90xnpLfC3U/AAAAAAAAAAI/AAAAAAAAAAA/zhc-4lAEF9I/s44-p-k-no-ns-nd/photo.jpg,-85.5826451,"Middlebrooks Brothers, Inc.",Middlebrooks Brothers,,,102762958191649462281,https://www.google.com/maps/contrib/102762958191649462281,"Middlebrooks Brothers, Inc.",+1 850-372-2829,CELLCO PARTNERSHIP DBA VERIZON,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipMHQkdskDVZ4V7rpL6ugQdFRP_R25z8x1C29aTM=w800-h500-k-no,25,ChIJI4xBmLL5kogRXpPR-lIhtRQ,32440.0,"electrician, 36344, Hartford, AL, US",5.0,9.0,1.492135491822261e+18,"https://search.google.com/local/reviews?placeid=ChIJI4xBmLL5kogRXpPR-lIhtRQ&q=electrician,+36344,+Hartford,+AL,+US&authuser=0&hl=en&gl=US",0.0,0.0,0.0,0.0,9.0,Florida,1166 Co Rd 173,https://lh5.googleusercontent.com/p/AF1QipMHQkdskDVZ4V7rpL6ugQdFRP_R25z8x1C29aTM=w1600-h1000-k-no,Electrician,America/Chicago,Electrician,Florida,1,"{""Monday"": ""7:30AM-5PM"", ""Tuesday"": ""7:30AM-5PM"", ""Wednesday"": ""7:30AM-5PM"", ""Thursday"": ""7:30AM-5PM"", ""Friday"": ""Closed"", ""Saturday"": ""Closed"", ""Sunday"": ""Closed""}",Monday:7:30AM-5PM|Tuesday:7:30AM-5PM|Wednesday:7:30AM-5PM|Thursday:7:30AM-5PM|Friday:Closed|Saturday:Closed|Sunday:Closed,#3c84d2,#647c8c
{},True,,,OPERATIONAL,Electrician,1.55566e+19,,,,,,,,,0x88933ae0d1363055:0xd7e44d7a68264640,8944e6142b7ffff,/g/11fxf538gm,29.702168,"https://www.google.com/maps/place/King+Electric+%26+Construction%2C+LLC/@29.702168,-84.2237664,14z/data=!4m8!1m2!2m1!1sKing+Electric+%26+Construction%2C+LLC!3m4!1s0x88933ae0d1363055:0xd7e44d7a68264640!8m2!3d29.702168!4d-84.2237664","https://www.google.com/maps/place/King+Electric+%26+Construction%2C+LLC/@29.702168,-84.2237664,13.99z/data=!4m16!1m7!3m6!1s0x88933ae0d1363055:0xd7e44d7a68264640!2sKing+Electric+%26+Construction%2C+LLC!8m2!3d29.702168!4d-84.2237664!16s%2Fg%2F11ckvg1dmb!3m7!1s0x88933ae0d1363055:0xd7e44d7a68264640!8m2!3d29.702168!4d-84.2237664!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh6.googleusercontent.com/-cNqOfjN_0Aw/AAAAAAAAAAI/AAAAAAAAAAA/jYFbxHVqwmc/s44-p-k-no-ns-nd/photo.jpg,-84.2237664,"King Electric & Construction, LLC",King Electric And Construction,,,101705584436819317444,https://www.google.com/maps/contrib/101705584436819317444,"King Electric & Construction, LLC",+1 850-693-2323,CELLCO PARTNERSHIP DBA VERIZON,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipPSfE4sH-Kyeic3wm5_Rt5rYxTbXrpGjUlu56UT=w800-h500-k-no,12,ChIJVTA20eA6k4gRQEYmaHpN5Nc,,"electrician, 36344, Hartford, AL, US",4.9,13.0,-2.890099872736328e+18,"https://search.google.com/local/reviews?placeid=ChIJVTA20eA6k4gRQEYmaHpN5Nc&q=electrician,+36344,+Hartford,+AL,+US&authuser=0&hl=en&gl=US",0.0,0.0,0.0,1.0,12.0,,,https://lh5.googleusercontent.com/p/AF1QipPSfE4sH-Kyeic3wm5_Rt5rYxTbXrpGjUlu56UT=w1600-h1000-k-no,"Electrician, Construction company, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-6PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""8AM-12PM"", ""Sunday"": ""Closed""}",Monday:8AM-6PM|Tuesday:8AM-6PM|Wednesday:8AM-6PM|Thursday:8AM-6PM|Friday:8AM-6PM|Saturday:8AM-12PM|Sunday:Closed,#907f6e,#80887c
{},True,,,OPERATIONAL,Electrician,1.59956e+18,,,,,,,,,0x27b2e2aefcc5695:0x1632c6a35b0cf658,894418b988fffff,/g/11tc2nyt9t,27.872349,"https://www.google.com/maps/place/Willpower+Electric/@27.872349,-83.80460099999999,14z/data=!4m8!1m2!2m1!1sWillpower+Electric!3m4!1s0x27b2e2aefcc5695:0x1632c6a35b0cf658!8m2!3d27.872349!4d-83.80460099999999","https://www.google.com/maps/place/Willpower+Electric/@27.872349,-83.80460099999999,13.99z/data=!4m16!1m7!3m6!1s0x27b2e2aefcc5695:0x1632c6a35b0cf658!2sWillpower+Electric!8m2!3d27.872349!4d-83.80460099999999!16s%2Fg%2F11ckvg1dmb!3m7!1s0x27b2e2aefcc5695:0x1632c6a35b0cf658!8m2!3d27.872349!4d-83.80460099999999!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh3.googleusercontent.com/-pBRmR0a0wNs/AAAAAAAAAAI/AAAAAAAAAAA/atgrTvdZbtI/s44-p-k-no-ns-nd/photo.jpg,-83.804601,Willpower Electric,Willpower Electric,,,117882013497668974823,https://www.google.com/maps/contrib/117882013497668974823,Willpower Electric,+1 334-525-0057,,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOsH5vn2brvhcSeDstlRUdtW28-wai6C5XIU4VH=w800-h500-k-no,9,ChIJlVbM7youewIRWPYMW6PGMhY,,"electrician, 36429, Brooklyn, AL, US",,,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOsH5vn2brvhcSeDstlRUdtW28-wai6C5XIU4VH=w1600-h1000-k-no,"Electrician, Service establishment",America/Chicago,Electrician,,1,"{""Monday"": ""7AM-5PM"", ""Tuesday"": ""7AM-5PM"", ""Wednesday"": ""7AM-5PM"", ""Thursday"": ""7AM-5PM"", ""Friday"": ""7AM-5PM"", ""Saturday"": ""7AM-5PM"", ""Sunday"": ""Closed""}",Monday:7AM-5PM|Tuesday:7AM-5PM|Wednesday:7AM-5PM|Thursday:7AM-5PM|Friday:7AM-5PM|Saturday:7AM-5PM|Sunday:Closed,,
{},False,,,OPERATIONAL,Electrician,5.21973e+18,Gulf Shores,United States of America,US,,,,,"113 W 14th Ave, Gulf Shores, AL 36542",0x889a0e6ae112792d:0x48703086d51ad591,8944563694fffff,/g/11g9fmv29k,30.2632777,"https://www.google.com/maps/place/Island+Electric+Company/@30.2632777,-87.6894312,14z/data=!4m8!1m2!2m1!1sIsland+Electric+Company!3m4!1s0x889a0e6ae112792d:0x48703086d51ad591!8m2!3d30.2632777!4d-87.6894312","https://www.google.com/maps/place/Island+Electric+Company/@30.2632777,-87.6894312,13.99z/data=!4m16!1m7!3m6!1s0x889a0e6ae112792d:0x48703086d51ad591!2sIsland+Electric+Company!8m2!3d30.2632777!4d-87.6894312!16s%2Fg%2F11ckvg1dmb!3m7!1s0x889a0e6ae112792d:0x48703086d51ad591!8m2!3d30.2632777!4d-87.6894312!9m1!1b1!16s%2Fg%2F11ckvg1dmb?entry=ttu",https://lh4.googleusercontent.com/-ISxZU76bpt8/AAAAAAAAAAI/AAAAAAAAAAA/QwFlfm92TWs/s44-p-k-no-ns-nd/photo.jpg,-87.6894312,Island Electric Company,Island Electric Company,,,111106895175922382493,https://www.google.com/maps/contrib/111106895175922382493,Island Electric Company,+1 251-597-8378,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - AL,mobile,,,,,,,,,,https://lh5.googleusercontent.com/p/AF1QipOdpgmyeU5cTVT0aGHvS17Ng9fRFBQOnhhfWXn1=w800-h500-k-no,25,ChIJLXkS4WoOmogRkdUa1YYwcEg,36542.0,"electrician, 36547, Gulf Shores, AL, US",5.0,8.0,5.219725323781461e+18,"https://search.google.com/local/reviews?placeid=ChIJLXkS4WoOmogRkdUa1YYwcEg&q=electrician,+36547,+Gulf+Shores,+AL,+US&authuser=0&hl=en&gl=US",0.0,0.0,0.0,0.0,8.0,Alabama,113 W 14th Ave,https://lh5.googleusercontent.com/p/AF1QipOdpgmyeU5cTVT0aGHvS17Ng9fRFBQOnhhfWXn1=w1600-h1000-k-no,Electrician,America/Chicago,Electrician,Alabama,1,"{""Monday"": ""8AM-5:30PM"", ""Tuesday"": ""8AM-5:30PM"", ""Wednesday"": ""8AM-5:30PM"", ""Thursday"": ""8AM-5:30PM"", ""Friday"": ""8AM-5:30PM"", ""Saturday"": ""8AM-12PM"", ""Sunday"": ""Closed""}",Monday:8AM-5:30PM|Tuesday:8AM-5:30PM|Wednesday:8AM-5:30PM|Thursday:8AM-5:30PM|Friday:8AM-5:30PM|Saturday:8AM-12PM|Sunday:Closed,#9e8860,#757877
